dateline,theme,news org,title,hyperlink
10/03/20,Bolsonaro diz que Covid-19 é fantasia,estadão,"Muito do que falam é fantasia, isso não é crise', diz Bolsonaro","https://economia.estadao.com.br/noticias/geral,muito-do-que-falam-e-fantasia-isso-nao-e-crise-diz-bolsonaro,70003227154"
10/03/20,Bolsonaro diz que Covid-19 é fantasia,folha,"Em evento esvaziado nos EUA, Bolsonaro nega crise e diz que problemas na Bolsa acontecem",https://www1.folha.uol.com.br/mercado/2020/03/em-evento-esvaziado-nos-eua-bolsonaro-nega-crise-e-diz-que-problemas-na-bolsa-acontecem.shtml
10/03/20,Bolsonaro diz que Covid-19 é fantasia,globo,"Nos EUA, Bolsonaro diz a plateia de empresários que coronavírus 'não é isso tudo, muito é fantasia'",https://oglobo.globo.com/economia/nos-eua-bolsonaro-diz-plateia-de-empresarios-que-coronavirus-nao-isso-tudo-muito-fantasia-1-24296379
10/03/20,Bolsonaro diz que Covid-19 é fantasia,g1,Bolsonaro diz que 'pequena crise' do coronavírus é 'mais fantasia' e não 'isso tudo' que mídia propaga,https://g1.globo.com/politica/noticia/2020/03/10/bolsonaro-diz-que-questao-do-coronavirus-e-muito-mais-fantasia.ghtml
10/03/20,Bolsonaro diz que Covid-19 é fantasia,uol,"É fantasia', diz Bolsonaro sobre crise causada por epidemia de coronavírus",https://economia.uol.com.br/noticias/bbc/2020/03/10/e-fantasia-diz-bolsonaro-sobre-crise-nos-mercados-causada-por-epidemia-de-coronavirus.htm
10/03/20,Bolsonaro diz que Covid-19 é fantasia,terra,"É muito mais fantasia', diz Bolsonaro sobre crise nos mercados causada por epidemia de coronavírus","https://www.terra.com.br/noticias/mundo/e-muito-mais-fantasia-diz-bolsonaro-sobre-crise-nos-mercados-causada-por-epidemia-de-coronavirus,de546b77db465cc87e6935e395ea3b59tmqk3yq0.html"
11/03/20,Outras gripes matam mais do que Covid,estadão,"Outras gripes mataram mais que essa', diz Bolsonaro sobre coronavírus","https://saude.estadao.com.br/noticias/geral,outras-gripes-mataram-mais-que-essa-diz-bolsonaro-sobre-coronavirus,70003229087"
11/03/20,Outras gripes matam mais do que Covid,folha,"Outras gripes mataram mais do que coronavírus, diz Bolsonaro",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/outras-gripes-mataram-mais-do-que-coronavirus-diz-bolsonaro.shtml
11/03/20,Outras gripes matam mais do que Covid,globo,Bolsonaro volta a minimizar coronavírus: 'outras gripes mataram mais do que essa',https://oglobo.globo.com/economia/bolsonaro-volta-minimizar-coronavirus-outras-gripes-mataram-mais-do-que-essa-24299297
11/03/20,Outras gripes matam mais do que Covid,g1,"Após OMS declarar pandemia, Bolsonaro volta a falar sobre coronavírus: 'Outras gripes mataram mais do que essa'",https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/11/apos-oms-declarar-pandemia-bolsonaro-volta-a-falar-sobre-coronavirus-outras-gripes-mataram-mais-do-que-essa.ghtml
11/03/20,Outras gripes matam mais do que Covid,uol,"Bolsonaro: 'Não sou médico; pelo que ouvi, outras gripes mataram mais'",https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2020/03/11/bolsonaro-nao-sou-medico-pelo-que-ouvi-outras-gripes-mataram-mais.htm
11/03/20,Outras gripes matam mais do que Covid,terra,"Outras gripes mataram mais que essa', diz Bolsonaro sobre coronavírus","https://www.terra.com.br/vida-e-estilo/saude/outras-gripes-mataram-mais-que-essa-diz-bolsonaro-sobre-coronavirus,84a9abf02479eb6aa491d89d10553a4a6lfwhtmp.html"
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",estadão,Bastidores: Pronunciamento de Bolsonaro foi feito com ajuda de Carlos e ‘gabinete do ódio’,"https://politica.estadao.com.br/noticias/geral,bastidores-pronunciamento-de-bolsonaro-foi-feito-com-ajuda-de-carlos-e-gabinete-do-odio,70003246733"
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",folha,"Ao contrário do que disse Bolsonaro, passado de atleta não é garantia de proteção contra coronavírus",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/ao-contrario-do-que-disse-bolsonaro-passado-de-atleta-nao-e-garantia-de-protecao-contra-coronavirus.shtml
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",globo,Histórico de atleta'? Veja lista de profissionais do esporte afetados pela Covid-19,https://oglobo.globo.com/esportes/historico-de-atleta-veja-lista-de-profissionais-do-esporte-afetados-pela-covid-19-24326447
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",g1,Bolsonaro pede na TV 'volta à normalidade' e fim do 'confinamento em massa' e diz que meios de comunicação espalharam 'pavor',https://g1.globo.com/politica/noticia/2020/03/24/bolsonaro-pede-na-tv-volta-a-normalidade-e-fim-do-confinamento-em-massa.ghtml
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",uol,Bolsonaro critica imprensa e fechamento de escolas e diz que crise passará,https://noticias.uol.com.br/politica/ultimas-noticias/2020/03/24/covid-19-bolsonaro-culpa-imprensa-por-panico-e-volta-a-falar-gripezinha.htm
24/03/20,"Bolsonaro fala em histeria e ""histórico de atleta""",terra,Médicos corrigem Bolsonaro e dizem que atletas podem adoecer,"https://www.terra.com.br/noticias/coronavirus/medicos-corrigem-bolsonaro-e-dizem-que-atletas-podem-adoecer,187b9bbcdd8aac556a0ab96cf3ae5a077l8lsmoj.html"
